Date;Heure;Temperature_C;Humidite_pct
2026-04-22;16:02:21;23.9;64
2026-04-22;20:26:14;18.1;60
2026-04-22;20:36:14;18.7;61
2026-04-22;20:46:14;19.1;60
2026-04-22;20:56:14;19.3;59
2026-04-22;21:06:14;19.4;60
2026-04-22;21:16:15;19.2;60
2026-04-22;21:26:15;19.0;60
2026-04-22;21:36:15;18.9;60
2026-04-22;21:46:15;19.1;59
2026-04-22;21:56:16;19.0;59
2026-04-22;22:06:16;18.7;60
2026-04-22;22:16:17;18.7;60
2026-04-22;22:26:16;18.5;60
2026-04-22;22:36:17;18.5;60
2026-04-22;22:46:17;18.2;60
2026-04-22;22:56:17;17.9;60
2026-04-22;23:06:17;17.7;60
2026-04-22;23:16:17;17.4;60
2026-04-22;23:26:17;17.2;60
2026-04-22;23:36:18;16.9;60
2026-04-22;23:46:18;16.8;60
2026-04-22;23:56:18;16.6;61
2026-04-23;00:06:19;16.5;61
2026-04-23;00:16:19;16.2;61
2026-04-23;00:26:18;16.1;61
2026-04-23;00:36:20;16.1;61
2026-04-23;00:46:19;16.0;61
2026-04-23;00:56:20;16.0;61
2026-04-23;01:06:20;16.0;61
2026-04-23;01:16:20;15.7;61
2026-04-23;01:26:21;15.9;61
2026-04-23;01:36:20;16.0;61
2026-04-23;01:46:21;16.0;61
2026-04-23;01:56:21;15.7;61
2026-04-23;02:06:21;15.6;61
2026-04-23;02:16:21;15.2;62
2026-04-23;02:26:21;15.3;62
2026-04-23;02:36:21;15.4;61
2026-04-23;02:46:22;15.3;61
2026-04-23;02:56:23;15.2;61
2026-04-23;03:06:23;15.0;61
2026-04-23;03:16:22;15.0;62
2026-04-23;03:26:23;14.9;62
2026-04-23;03:36:23;14.8;62
2026-04-23;03:46:23;14.9;62
2026-04-23;03:56:23;14.9;62
2026-04-23;04:06:24;14.9;61
2026-04-23;04:16:24;14.7;62
2026-04-23;04:26:24;14.6;62
2026-04-23;04:36:24;14.6;62
2026-04-23;04:46:24;14.5;62
2026-04-23;04:56:25;14.5;62
2026-04-23;05:06:25;14.4;62
2026-04-23;05:16:25;14.4;62
2026-04-23;05:26:26;14.3;62
2026-04-23;05:36:26;14.1;62
2026-04-23;05:46:26;14.2;62
2026-04-23;05:56:27;14.0;62
2026-04-23;06:06:27;14.1;62
2026-04-23;06:16:27;13.9;62
2026-04-23;06:26:26;13.8;62
2026-04-23;06:36:27;13.7;62
2026-04-23;06:46:28;13.5;62
2026-04-23;06:56:27;13.4;63
2026-04-23;07:06:28;13.5;62
2026-04-23;07:16:28;13.4;62
2026-04-23;07:26:28;13.5;62
2026-04-23;07:36:29;13.6;62
2026-04-23;07:46:29;13.6;62
